#  NN градусы  градусы           Z     Yaw           Pitch           Roll
10854 50.40502 29.89308 1012.277      67.001865 -1.026140 -1.193843       
10855 50.40558 29.89700 1012.866      71.943793 -1.481514 1.561118        
10856 50.40597 29.90105 1009.253      73.872541 -2.672355 0.602976        
10857 50.40640 29.90502 1008.909      70.048616 -0.654158 -4.184617       
10858 50.40701 29.90875 1010.895      72.894920 -1.832210 3.031192        
10859 50.40740 29.91275 1008.821      72.312004 -0.471333 0.397678        
10860 50.40769 29.91665 1005.579      71.722766 -1.576240 -0.757557       
10861 50.40807 29.92057 999.635       67.115591 -1.337371 -0.391279       
10862 50.40857 29.92445 991.855       65.793010 -1.578962 3.458134        
10863 50.40892 29.92843 981.598       74.818961 -1.910636 5.008610        
10864 50.40899 29.93238 977.407       71.640237 -1.227112 -2.391655       
10865 50.40931 29.93610 971.343       62.739582 -2.544074 -0.404748       
10866 50.40986 29.93988 962.983       59.757288 -1.703283 -0.447509       
10867 50.41043 29.94351 968.707       63.094177 2.268827 3.133247        
10868 50.41090 29.94711 975.393       60.915624 0.739695 0.210163        
10869 50.41136 29.95084 981.437       66.140737 3.082801 4.740242        
10870 50.41159 29.95466 989.190       61.213574 1.421468 -2.934419       
10871 50.41209 29.95843 990.619       55.445727 1.461334 3.019031        
10872 50.41275 29.96226 995.947       58.010096 0.354923 4.667133        
10873 50.41338 29.96618 999.491       57.760670 0.670681 3.254196        
10874 50.41398 29.97003 1004.196      65.207769 0.397985 2.993612        
10875 50.41439 29.97408 1007.078      69.824675 0.309637 0.987389        
10876 50.41464 29.97810 1009.911      72.945070 -0.069558 1.786537        
10877 50.41484 29.98213 1010.233      68.946086 0.032760 -0.947091       
10878 50.41523 29.98605 1011.750      61.866691 0.802693 -2.581157       
10879 50.41602 29.98971 1015.259      54.438489 -0.817185 0.855879        
10880 50.41709 29.99343 1012.803      48.932337 -1.033408 -2.976137       
10881 50.41826 29.99705 1014.958      67.606218 -1.657150 9.031083        
10882 50.41871 30.00119 1023.813      85.369988 0.390389 2.579427        
10883 50.41865 30.00533 1032.183      92.854238 -0.102602 3.499133        
10884 50.41824 30.00948 1035.808      87.894138 0.461794 -4.667765       
10885 50.41819 30.01352 1031.631      76.003205 -0.925365 -4.048714       
10886 50.41860 30.01764 1016.766      69.634982 -4.873758 0.219928        
10887 50.41926 30.02167 999.523       67.406281 -1.597704 3.607120        
10888 50.41989 30.02547 994.322       66.632722 -3.114633 0.200791        
10889 50.42064 30.02925 982.051       71.990885 -4.052716 3.048890        
10890 50.42126 30.03311 975.986       81.081865 -2.594712 4.317132        
10891 50.42162 30.03690 977.727       71.836197 0.473625 -3.083494       
10892 50.42214 30.04052 975.853       68.858700 -1.954214 0.872874        
10893 50.41318 30.01796 908.310       264.543525 -1.305101 4.292761      
10894 50.41270 30.01465 906.220       268.154209 -1.698433 3.599584      
10895 50.41228 30.01125 905.952       266.158269 -1.609544 0.127778      
10896 50.41179 30.00781 904.745       267.826787 -1.897089 2.333655      
10897 50.41128 30.00441 905.714       266.384643 -1.173282 3.143382      
10898 50.41080 30.00110 922.363       266.733405 4.645665 1.346853      
10899 50.41029 29.99783 941.121       262.995395 2.605858 1.089898      
10900 50.40977 29.99433 952.383       267.122908 2.136113 2.981567      
10901 50.40940 29.99069 959.237       272.183728 2.922622 2.734822      
10902 50.40916 29.98699 971.537       272.560839 3.584881 1.429333      
10903 50.40890 29.98327 986.779       266.937335 1.419506 -2.947945     
10904 50.40831 29.97929 992.514       261.659092 0.915341 1.431831      
10905 50.40765 29.97541 997.058       264.963958 0.828127 2.909776      
10906 50.40714 29.97154 1004.966      266.830062 1.633698 1.667725      
10907 50.40667 29.96764 1013.322      267.500947 1.420789 0.328215      
10908 50.40616 29.96368 1023.424      265.231231 2.032279 -0.530225     
